방문순서,우선순위,현장ID,주요변화유형,후보건수,건물수,변화면적(m2),관련필지PNU,X_EPSG5186,Y_EPSG5186,경도,위도,보상기준일판정,무허가의심등급,대장매칭건수,방향불일치건수,현장확인사항,현장판정(기입),사진촬영(기입),조사자(기입),조사일자(기입),비고(기입)
30,MEDIUM,CHG_00055,OTHER_CHANGE,1,0,1900.0,,189900.07,558104.57,126.885593,37.622484,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
31,MEDIUM,CHG_00045,EXPANSION_OR_RECONSTRUCTION,2,2,100.17,4128111300103610053;4128111300103610055,190288.75,558477.01,126.889991,37.625844,POST_BASELINE_UNVERIFIED,NONE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
32,MEDIUM,CHG_00049,NEW_BUILDING,1,1,168.23,4128111300103610141,190439.53,558416.86,126.8917,37.625304,POST_BASELINE_UNVERIFIED,NONE,1,0,신축 여부 및 착공·사용승인 이력 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
33,MEDIUM,CHG_00050,OTHER_CHANGE,1,0,900.0,,190644.28,558345.62,126.89402,37.624664,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
34,MEDIUM,CHG_00042,EXPANSION_OR_RECONSTRUCTION,1,1,1.36,4128111300104320067,190615.53,558604.67,126.893691,37.626998,POST_BASELINE_UNVERIFIED,C_WEAK,0,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
35,MEDIUM,CHG_00040,EXPANSION_OR_RECONSTRUCTION,1,1,346.9,4128111300104320499,190733.86,558668.24,126.895031,37.627571,POST_BASELINE_UNVERIFIED,NONE,1,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
36,MEDIUM,CHG_00058,OTHER_CHANGE,1,0,1500.0,,191074.28,558025.62,126.898895,37.621785,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
37,MEDIUM,CHG_00060,OTHER_CHANGE,1,0,900.0,,191094.28,557905.62,126.899123,37.620704,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
38,MEDIUM,CHG_00054,OTHER_CHANGE,1,0,3400.0,,191280.46,558153.57,126.901229,37.62294,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
39,MEDIUM,CHG_00043,OTHER_CHANGE,1,0,900.0,,191514.28,558525.62,126.903873,37.626294,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
40,MEDIUM,CHG_00025,OTHER_CHANGE,1,0,900.0,,190354.28,559475.62,126.89072,37.634842,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
41,MEDIUM,CHG_00022,OTHER_CHANGE,1,0,4900.0,,189991.42,559823.18,126.886604,37.63797,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
42,MEDIUM,CHG_00019,DEMOLITION,1,1,2900.0,,189758.42,559936.31,126.883963,37.638986,POST_BASELINE_UNVERIFIED,NONE,0,0,철거 여부 및 멸실신고 이력 확인 (근거가 약한 판정이므로 존치 여부부터 확인) / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
43,MEDIUM,CHG_00020,OTHER_CHANGE,1,0,1200.0,,189444.28,559920.62,126.880404,37.638841,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
44,MEDIUM,CHG_00018,DEMOLITION,1,1,3200.0,,189336.47,559981.88,126.879182,37.639392,POST_BASELINE_UNVERIFIED,NONE,0,0,철거 여부 및 멸실신고 이력 확인 (근거가 약한 판정이므로 존치 여부부터 확인) / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
45,MEDIUM,CHG_00023,OTHER_CHANGE,1,0,1200.0,,189214.28,559790.62,126.8778,37.637667,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
46,MEDIUM,CHG_00027,OTHER_CHANGE,1,0,2200.0,,189319.28,559420.62,126.878995,37.634335,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
47,MEDIUM,CHG_00030,EXPANSION_OR_RECONSTRUCTION,1,1,16.8,4128111300105700011,189198.71,559256.33,126.877632,37.632853,POST_BASELINE_UNVERIFIED,C_WEAK,0,1,"증축·개축 범위와 허가 범위 일치 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 밝기 변화 방향 불일치 1건 - 자동판정 신뢰도 낮음, 육안 확인 필수 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선",,,,,
48,MEDIUM,CHG_00031,OTHER_CHANGE,1,0,900.0,,189164.28,559145.62,126.877243,37.631855,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
49,MEDIUM,CHG_00032,OTHER_CHANGE,1,0,2700.0,,189244.65,559059.7,126.878155,37.631082,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
50,MEDIUM,CHG_00035,DEMOLITION,1,1,5700.0,,189075.68,558868.96,126.876243,37.629362,POST_BASELINE_UNVERIFIED,NONE,0,0,철거 여부 및 멸실신고 이력 확인 (근거가 약한 판정이므로 존치 여부부터 확인) / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
51,MEDIUM,CHG_00048,OTHER_CHANGE,1,0,3500.0,,189018.57,558369.91,126.875604,37.624865,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
52,MEDIUM,CHG_00057,OTHER_CHANGE,1,0,6900.0,,189040.66,558079.54,126.875859,37.622249,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
53,MEDIUM,CHG_00056,DEMOLITION,1,1,1800.0,,189214.28,558070.62,126.877825,37.62217,POST_BASELINE_UNVERIFIED,NONE,0,0,철거 여부 및 멸실신고 이력 확인 (근거가 약한 판정이므로 존치 여부부터 확인) / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
