id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107782476,412810016233,4128111300103610059035250,경기도,고양시 덕양구,용두동,용두로121번길,179,0,,,0,,,3.0,0.0,179,41281,4376162,113,4128111300103610059,126.88968170386327,37.62686541336915,,제1종근린생활시설,833.25,833.25,1.0,0.0,20130617,20140822,20141216,True,pnu,0.6,182.36,21.36,0.1171,0.6129,False,CHG_00038,-50.45,EXPANSION_OR_RECONSTRUCTION,사용승인일=2014-12-16로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.6129,1.0,0.5003,MEDIUM,-0.6951545808047314,0.039,COLD_95
lt_c_spbd.4107775848,412810006088,4128111300104320121032978,경기도,고양시 덕양구,용두동,서오릉로,452,0,,,0,,,1.0,0.0,452,41281,3000007,113,4128111300104320121,126.89028915272539,37.627876779346224,,제2종근린생활시설,165.96,265.92,2.0,0.0,19960713,19960905,19970509,True,pnu,0.6,16.43,15.38,0.9364,0.5406,False,CHG_00035,461.58,EXPANSION_OR_RECONSTRUCTION,사용승인일=1997-05-09로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.5406,1.0,0.7172,HIGH,-0.7391719406084696,0.013,COLD_95
lt_c_spbd.4107775850,412810006087,4128111300104320121003671,경기도,고양시 덕양구,용두동,서오릉로,452,0,,,0,,,1.0,0.0,452,41281,3000007,113,4128111300104320121,126.8903874076984,37.62788445929303,,제2종근린생활시설,165.96,265.92,2.0,0.0,19960713,19960905,19970509,True,pnu,0.6,114.27,7.76,0.0679,0.5406,False,CHG_00035,461.58,EXPANSION_OR_RECONSTRUCTION,사용승인일=1997-05-09로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.5406,1.0,0.4566,MEDIUM,-0.7391719406084696,0.035,COLD_95
lt_c_spbd.4107775851,412810006064,4128111300104320030003522,경기도,고양시 덕양구,용두동,서오릉로,456,0,,,0,,,2.0,0.0,456,41281,3000007,113,4128111300104320030,126.89009867674417,37.627946701423795,,제1종근린생활시설,296.6,296.6,1.0,0.0,20150708,20150715,20151002,True,pnu,0.6,190.48,34.72,0.1823,0.5406,False,CHG_00035,461.58,EXPANSION_OR_RECONSTRUCTION,사용승인일=2015-10-02로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.5406,1.0,0.4909,MEDIUM,-0.5829813090468173,0.109,NOT_SIG
lt_c_spbd.4107775849,412810006089,4128111300104320121032979,경기도,고양시 덕양구,용두동,서오릉로,452,0,,,0,,,1.0,0.0,452,41281,3000007,113,4128111300104320121,126.89037144273115,37.627950566129186,,제2종근린생활시설,165.96,265.92,2.0,0.0,19960713,19960905,19970509,True,pnu,0.6,83.44,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.15,LOW,-0.7391719406084696,0.095,COLD_90
lt_c_spbd.4107803477,412810086076,4128111300108300000000001,경기도,고양시 덕양구,용두동,해포길,481,20,,,0,,,1.0,0.0,481-20,41281,4376293,113,4128111300108300000,126.8744627365527,37.61888783134539,,,,,,,,,,False,,1.0,231.43,231.43,1.0,0.8329,False,CHG_00061,-804.41,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-804.4(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.8329,1.0,0.9332,HIGH,0.022186392512964538,0.741,NOT_SIG
lt_c_spbd.4107803328,412810095796,4128111300108280006000001,경기도,고양시 덕양구,용두동,화랑로,261,19,,,0,,,1.0,0.0,261-19,41281,3192097,113,4128111300108280006,126.8747753773174,37.620073888819775,,제1종근린생활시설,66.0,66.0,1.0,0.0,20170301,20170417,20171228,True,pnu,0.6,71.0,71.0,0.9999,0.7914,False,CHG_00055,-606.84,EXPANSION_OR_RECONSTRUCTION,사용승인일=2017-12-28로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.7914,1.0,0.8365,HIGH,0.12517754835483,0.867,NOT_SIG
lt_c_spbd.4107803330,412810079020,4128111300108330001000001,경기도,고양시 덕양구,용두동,화랑로,261,23,,,0,,,1.0,0.0,261-23,41281,3192097,113,4128111300108330001,126.87445795656524,37.62019268247779,,제2종근린생활시설,99.38,99.38,1.0,0.0,20110603,20110617,20130104,True,pnu,0.6,101.22,101.22,1.0,0.7914,False,CHG_00055,-606.84,EXPANSION_OR_RECONSTRUCTION,사용승인일=2013-01-04로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.7914,1.0,0.8366,HIGH,0.12517754835483,0.867,NOT_SIG
lt_c_spbd.4107803327,412810095795,4128111300108280003000001,경기도,고양시 덕양구,용두동,화랑로,261,17,,,0,,,1.0,0.0,261-17,41281,3192097,113,4128111300108280003,126.87500674506151,37.620268803648145,,제1종근린생활시설,84.0,84.0,1.0,0.0,20170406,20170417,20171228,True,pnu,0.6,90.83,19.82,0.2182,0.7914,False,CHG_00055,-606.84,EXPANSION_OR_RECONSTRUCTION,사용승인일=2017-12-28로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.7914,1.0,0.602,MEDIUM,0.12517754835483,0.645,NOT_SIG
lt_c_spbd.4107803324,412810092093,4128111300108550001000001,경기도,고양시 덕양구,용두동,화랑로,261,6,,,0,,,1.0,0.0,261-6,41281,3192097,113,4128111300108550001,126.87613614912334,37.621082597357706,,,,,,,,,,False,,1.0,138.83,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.23,LOW,0.12517754835483,0.307,NOT_SIG
lt_c_spbd.4107803450,412810081572,4128111300108230003000001,경기도,고양시 덕양구,용두동,화랑로,309,90,,,0,,,1.0,0.0,309-90,41281,3192097,113,4128111300108230003,126.8758542399533,37.622712618711844,,,,,,,,,,False,,1.0,128.53,128.53,1.0,0.8798,False,CHG_00052,-531.86,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-531.9(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.8798,1.0,0.9519,HIGH,0.11807797419293699,0.995,NOT_SIG
lt_c_spbd.4107798742,412810084305,4128111300103690000000001,경기도,고양시 덕양구,용두동,화랑로,378,80,,,0,,,1.0,0.0,378-80,41281,3192097,113,4128111300103690000,126.88575113799831,37.627270406624866,,,,,,,,,,False,,1.0,1202.49,3.96,0.0033,0.7016,False,CHG_00039,319.16,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.00 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.7016,1.0,0.5816,MEDIUM,-0.054583669424308257,0.977,NOT_SIG
lt_c_spbd.4107782574,412810079415,4128111300104110005000001,경기도,고양시 덕양구,용두동,용두로35번길,116,0,,,0,,,1.0,0.0,116,41281,4376163,113,4128111300104110005,126.88231133890937,37.62717684032361,,,,,,,,,,False,,1.0,40.43,40.43,1.0,0.7959,False,CHG_00036,52.47,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.7959,1.0,0.9184,HIGH,-0.019890417019856613,0.667,NOT_SIG
