id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,change_type,classification_note,change_id,mean_change_score,t1_date,t2_date,method,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107802935,412810028379,4128111300100020019002643,경기도,고양시 덕양구,용두동,용두로,176,76,,,0,,,1.0,0.0,176-76,41281,3192055,113,4128111300100020019,126.8991913677686,37.6204006648795,,,,,,,,,,False,,1.0,66.11,66.11,1.0,0.9141,False,CHG_00052,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,0.9141,1.0,0.9656,HIGH,0.012375570017083228,0.745,NOT_SIG
lt_c_spbd.4107802933,412810028378,4128111300100020018002647,경기도,고양시 덕양구,용두동,용두로,176,74,,,0,,,1.0,0.0,176-74,41281,3192055,113,4128111300100020018,126.89919411609655,37.62046896237645,,,,,,,,,,False,,1.0,134.27,134.27,1.0,0.9141,False,CHG_00052,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,0.9141,1.0,0.9656,HIGH,0.22096390684947723,0.721,NOT_SIG
lt_c_spbd.4107798703,412810032788,4128111300100010010018636,경기도,고양시 덕양구,용두동,서오릉로,307,16,,,0,,,1.0,0.0,307-16,41281,3000007,113,4128111300100010002,126.90248665034888,37.61948671702757,,제2종근린생활시설,190.3,190.3,1.0,0.0,20090728,20090804,20091130,True,pnu,0.6,40.49,6.28,0.1551,0.5773,False,CHG_00057,EXPANSION_OR_RECONSTRUCTION,사용승인일=2009-11-30로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.5773,1.0,0.4975,MEDIUM,-0.6794380627812197,0.071,COLD_90
lt_c_spbd.4107798702,412810032786,4128111300100010002016737,경기도,고양시 덕양구,용두동,서오릉로,307,16,,,0,,,1.0,0.0,307-16,41281,3000007,113,4128111300100010002,126.90224398750112,37.61968705776295,,제2종근린생활시설,190.3,190.3,1.0,0.0,20090728,20090804,20091130,True,pnu,0.6,230.42,170.13,0.7383,0.5773,False,CHG_00057,EXPANSION_OR_RECONSTRUCTION,사용승인일=2009-11-30로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.5773,1.0,0.6724,MEDIUM,-0.6794380627812197,0.045,COLD_95
lt_c_spbd.4107775787,412810006010,4128111300100010035016739,경기도,고양시 덕양구,용두동,서오릉로,314,0,,,0,,,3.0,0.0,314,41281,3000007,113,4128111300100010035,126.9024797359327,37.621221287516434,,,,,,,,,,False,,1.0,132.17,17.78,0.1345,1.0,False,CHG_00047,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.13 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,0.7403,HIGH,0.9306602694012464,0.003,HOT_99
lt_c_spbd.4107788010,412810021603,4128111300100010013034004,경기도,고양시 덕양구,용두동,서오릉로,324,13,,,0,,,1.0,0.0,324-13,41281,3000007,113,4128111300100010013,126.90185867676956,37.621602968317546,,,,,,,,,,False,,1.0,167.39,160.94,0.9614,1.0,False,CHG_00047,NEW_BUILDING,"change_ratio=0.96 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,0.9884,HIGH,0.9147790130508454,0.003,HOT_99
lt_c_spbd.4107788007,412810021598,4128111300100010013027303,경기도,고양시 덕양구,용두동,서오릉로,324,13,,,0,,,1.0,0.0,324-13,41281,3000007,113,4128111300100010013,126.90216769560953,37.62173930340032,,,,,,,,,,False,,1.0,95.3,95.3,1.0,1.0,False,CHG_00047,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,1.0,HIGH,1.0436564960916364,0.003,HOT_99
lt_c_spbd.4107788005,412810021590,4128111300100010013026938,경기도,고양시 덕양구,용두동,서오릉로,324,13,,,0,,,1.0,0.0,324-13,41281,3000007,113,4128111300100010013,126.90186695006659,37.6217727295225,,,,,,,,,,False,,1.0,39.26,39.26,1.0,1.0,False,CHG_00047,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,1.0,HIGH,0.9147790130508454,0.003,HOT_99
lt_c_spbd.4107788006,412810021588,4128111300100010013009433,경기도,고양시 덕양구,용두동,서오릉로,324,13,,,0,,,1.0,0.0,324-13,41281,3000007,113,4128111300100010013,126.90234661120259,37.62180503449646,,,,,,,,,,False,,1.0,145.07,145.07,1.0,1.0,False,CHG_00047,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,1.0,HIGH,1.0486166693079253,0.003,HOT_99
lt_c_spbd.4107802932,412810028377,4128111300100020015002597,경기도,고양시 덕양구,용두동,용두로,176,72,,,0,,,1.0,0.0,176-72,41281,3192055,113,4128111300100020015,126.89882440811054,37.62055545560035,,,,,,,,,,False,,1.0,129.12,129.12,1.0,0.9141,False,CHG_00052,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,0.9141,1.0,0.9656,HIGH,0.22096390684947723,0.717,NOT_SIG
