방문순서,우선순위,현장ID,주요변화유형,후보건수,건물수,변화면적(m2),관련필지PNU,X_EPSG5186,Y_EPSG5186,경도,위도,보상기준일판정,무허가의심등급,대장매칭건수,방향불일치건수,현장확인사항,현장판정(기입),사진촬영(기입),조사자(기입),조사일자(기입),비고(기입)
52,LOW,OID_41,OTHER_CHANGE,1,0,0.0,4159510500105900015,204869.25,514042.97,127.054866,37.225524,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
53,LOW,OID_265,OTHER_CHANGE,1,0,0.0,4159510500102950004,205014.7,514434.33,127.056508,37.22905,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
54,LOW,OID_90,OTHER_CHANGE,1,0,0.0,4159510500102950019,205108.96,514444.14,127.05757,37.229137,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
55,LOW,OID_79,OTHER_CHANGE,1,0,0.0,4159510500105520002,205341.3,513723.47,127.060183,37.222643,STRADDLES_BASELINE,B_MODERATE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
56,LOW,OID_75,OTHER_CHANGE,1,0,0.0,4159510500105470001,205277.2,513689.33,127.05946,37.222335,STRADDLES_BASELINE,B_MODERATE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
57,LOW,OID_67,OTHER_CHANGE,1,0,0.0,4159510500105450002,205261.97,513602.59,127.059288,37.221554,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
58,LOW,OID_68,OTHER_CHANGE,1,0,0.0,4159510500106310002,205219.63,513533.81,127.05881,37.220934,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
59,LOW,OID_105,OTHER_CHANGE,1,0,0.0,4159510400104310002,203358.82,514229.12,127.037848,37.227208,STRADDLES_BASELINE,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
60,LOW,OID_101,OTHER_CHANGE,1,0,0.0,4159510100101320009,202993.08,513311.55,127.033723,37.218942,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
61,LOW,OID_99,OTHER_CHANGE,1,0,0.0,4159510100101340001,202992.0,513281.24,127.03371,37.218668,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
62,LOW,OID_102,OTHER_CHANGE,1,0,0.0,4159510100101300006,202926.78,513325.8,127.032976,37.21907,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
